text	label
趙雲瀾ㄎㄅ居然還跑出來倒	Non-offensive
所以到底發生什麼事情了	Non-offensive
嶽虹小姐，早安好	Non-offensive
何俊偉跟你講的一樣	Non-offensive
越南神童	Non-offensive
一堆好手好腳嘴裡卻喊沒工作的看看吧想不想找個地洞鑽凸	Non-offensive
你們哪裡耶	Non-offensive
張鬱萱黃詩芸你們的會嗎	Non-offensive
就係呢個二姐同芬芬啊❣	Non-offensive
讚，說的好	Non-offensive
呱吉支持你加油	Non-offensive
無言的恐嚇訊息，告他剛好而已	Non-offensive
蛤居然是臺中人嗎	Non-offensive
ㄍ幹怎麼可能生日快樂	Non-offensive
黃少謙你看	Non-offensive
八年還不夠賺飽，臭了嗎	Non-offensive
跨謀啊跨謀啊	Non-offensive
明君，有責任的好青年，	Non-offensive
這什麼鬼	Non-offensive
我們以後要一起照顧我們的弟弟	Non-offensive
大愛最後那位咯	Non-offensive
金門畜牧一甲子紙想盒你在一起馮雨祥	Non-offensive
老習對眼好大咩而家	Non-offensive
林伯融快聽	Non-offensive
道德綁架情緒勒索講這麼多希望他出來講一下他為世界做了什麼	Non-offensive
元廷許柏綸	Non-offensive
哈哈好正呀	Non-offensive
李璐哈哈	Non-offensive
蘿莉控，偉慈真君	Non-offensive
ㄣ跟ㄥ差滿多的	Non-offensive
謝謝您加油	Non-offensive
這些古人的帳號是怎麼一回事啦，這樣歷史會學壞掉啦	Non-offensive
小弟正正就係唔洗攞病假嗰種	Non-offensive
李文賢你上新聞了	Non-offensive
那是大白菜啊	Non-offensive
娘娘吉祥	Non-offensive
警察朋友說的	Non-offensive
阿爸阿爸啊啊啊啊啊爸	Non-offensive
怎麼還不離婚	Non-offensive
真漂亮呀妹妹	Non-offensive
百鬼你看看這個	Non-offensive
你只是做自己最真髒東西就不要理	Non-offensive
鄭喬尹我要一個	Non-offensive
帥阿怎麼不帥超帥	Non-offensive
活得到那時候嗎	Non-offensive
傅薾萱幹	Non-offensive
睇到喊有屋企人的地方先是家	Non-offensive
真的是偶像	Non-offensive
大眼仔會大賣	Non-offensive
你太可愛了你最美喔	Non-offensive
隨便啦先吃一下牛排	Non-offensive
喵王：奴才你地玩夠沒	Non-offensive
：我阿公	Non-offensive
她嫁的是人，不是豬，是內涵相稱的，錢夠用就好	Non-offensive
比你可愛	Non-offensive
開服大佬效能比我這佛系玩家還低	Non-offensive
兄弟你一臉欠星爆呢	Non-offensive
早安，祝福您	Non-offensive
大師兄好有智慧	Non-offensive
可以出個讓爸爸揍何老師嗎	Non-offensive
是妳們嗎	Non-offensive
我也想知道那他自己做了什麼幫狗不行那分工合作他去幫人呀	Non-offensive
歐北貢叫小黑不要這樣好嗎	Non-offensive
我師父，國際蕉流拳	Non-offensive
慶哥晚上愉快兩個女兒	Non-offensive
江佳璇從開始看	Non-offensive
基隆你航空母艦要開多久才會到	Non-offensive
王母娘娘祂很美喔祂都穿黃色的	Non-offensive
歐買嘎好可憐	Non-offensive
最近大大很怒喔熄火息怒	Non-offensive
影片要去那找	Non-offensive
說好的房子勒	Non-offensive
黃瀚陞黑夜降臨	Non-offensive
阿公您真的好慈悲，辛苦了	Non-offensive
手好漂亮耶	Non-offensive
鄧翰良你跟瘦子竟然會講同個的土味情話	Non-offensive
提告發大財	Non-offensive
林老屍餘思翰	Non-offensive
希望下個月唔駛變埋波蘭人	Non-offensive
我的天老爺啊	Non-offensive
才子真的是才子大拍手	Non-offensive
＃人權律師、當之無愧感謝您	Non-offensive
金大元帥最苗條	Non-offensive
蔡傑紘牛奶交出來	Non-offensive
我美國白人捏你敢戰	Non-offensive
為了錢可以在背後男生裝女生跟男粉絲談情說愛佩服	Non-offensive
感恩善者	Non-offensive
嘉歆我有些想法	Non-offensive
謝大哥您真馬蚤	Non-offensive
你係烏克蘭人講兩句烏克蘭文嚟聽嚇唔識講就收皮啦	Non-offensive
神主牌位嗎	Non-offensive
唔只倉鼠連人都係	Non-offensive
蕭至盛快看留言哈哈哈好多古人	Non-offensive
用沒媽媽攻擊就太過了，告他吧真的沒教養的是他	Non-offensive
加油，下次來臺灣一定會找你	Non-offensive
咁你仲唔即刻係臺灣參軍，扮能哂野	Non-offensive
元元你家有牛奶嗎	Non-offensive
我愛妳的名字還有妳那些沒素質的人就讓他們獨自被社會唾棄	Non-offensive
很標準的老虎不發威你當他病貓	Non-offensive
小智幫下註解	Non-offensive
亂翻迷迷	Non-offensive
現在都在哪	Non-offensive
哇變黑妞了	Non-offensive
他應該也有去噴歐陽靖吧挖鼻	Non-offensive
市長加油，支持你	Non-offensive
頭頭頭號粉絲	Non-offensive
推大師兄遇到海巡署長，能保有肚量和耐心	Non-offensive
還下令欸	Non-offensive
裘海正嫁的就是養豬大戶	Non-offensive
爐石腦的玩家一堆啊操	Non-offensive
真ㄉ滿頭問號	Non-offensive
所以你之後不相親也不結婚了	Non-offensive
總是想做點什麼的長輩	Non-offensive
陳郡彗恭賀陳同學沒上北醫女	Non-offensive
這是柯學	Non-offensive
了不起主席強者	Non-offensive
你寫得出唔尷尬嗰度好野	Non-offensive
天天爬牆的拉斐爾	Non-offensive
林冠輝你啦	Non-offensive
我我來跟你約會	Non-offensive
兄弟兩性平等參酌	Non-offensive
扣哥一直走在最前面	Non-offensive
貓貓好多	Non-offensive
這些人只差沒說要大家供養他們而已	Non-offensive
齁摟就是粉絲老是刷口癖跟梗才讓人討厭	Non-offensive
在哪想幫忙	Non-offensive
大港你贏了算不算三字經	Non-offensive
那是紅隊吧	Non-offensive
芓廷兒阿公	Non-offensive
呱吉惜惜	Non-offensive
蔡辰辰看一下留言	Non-offensive
鄭登元棘品元	Non-offensive
去按摩咯喂	Non-offensive
喔，我懂們的閉門術文→當渣→可以被捧成聖介們，經們，都學到了	Non-offensive
殲滅卿控路過簽到	Non-offensive
宋智瀚來一場	Non-offensive
還在等麋先生被公佈	Non-offensive
肥仔榮最欠棒比以前肥了很多	Non-offensive
百無一用是書生	Non-offensive
你喜歡的	Non-offensive
我有哪裡比不過那個佐助君	Non-offensive
對你母親的事表示遺憾可是沒關成實在太棒了	Non-offensive
才提到而已	Non-offensive
哥，生日快樂，一切順心	Non-offensive
ㄛ氣氣氣氣氣	Non-offensive
你們最棒了辛苦了	Non-offensive
好像挺厲害的	Non-offensive
就是喜歡你不假掰加油的做自已	Non-offensive
敬老尊賢	Non-offensive
奶奶手術平安早日康復	Non-offensive
我的麻吉置叨	Non-offensive
告，你並沒有什麼錯	Non-offensive
酒桶好神猛唧唧三比零嗚嗚嗚我不敢出門	Non-offensive
遺作就更加支持下智叔	Non-offensive
鍾仁杰要不要啦	Non-offensive
楊昀翰你	Non-offensive
是你嗎與陳年沙發合二為一	Non-offensive
蕭詠吃不飽就這個樣子嗯對	Non-offensive
妳小心了	Non-offensive
扯，連大濕都敢弄，現在看看誰比較大	Non-offensive
佩芸吳朱鼎文夠壞笑死	Non-offensive
虹姐姐，早安安	Non-offensive
這才是真正好新聞，加油	Non-offensive
這應該報廢吧	Non-offensive
拍攝者不救	Non-offensive
把你名字遮起來我以為是柯文哲呢，有的那個柯文哲	Non-offensive
好善良的娘娘，講的非常有道理	Non-offensive
撐得過十秒嗎	Non-offensive
陳亭妃酷	Non-offensive
魏辰亦巨錘瑞斯	Non-offensive
所以小亮五萬還有改名呢	Non-offensive
早苗月依	Non-offensive
那男生呢	Non-offensive
那也來罷免一下狗命黨吧	Non-offensive
所以那個手是啥意思	Non-offensive
隨性樂團啦啦啦先知碼莉啦啦啦	Non-offensive
㊗奶奶手術一切順利早日康復	Non-offensive
就算他把家弄淹水了妳也沒辦法動他他喬妮爸罩的	Non-offensive
原才是女友好嗎	Non-offensive
看他會不會再抄	Non-offensive
大港你贏了	Non-offensive
溫效誠遊小新	Non-offensive
你說的沒錯	Non-offensive
是菩薩降世	Non-offensive
好棒的妹妹祝福您們加油	Non-offensive
抽全是金銀	Non-offensive
蜜蜂那個熱死的同時射死	Non-offensive
好企鵝，不娶嗎	Non-offensive
平安順產	Non-offensive
嶽虹姐晚上愉快心怡☕	Non-offensive
抓去關啦	Non-offensive
如果真要我講你打他老婆真不要命了	Non-offensive
李冠廷你也是	Non-offensive
你很棒，有機會多希望能看到你本人的風采	Non-offensive
進的去出不來	Non-offensive
邵一團阿公	Non-offensive
加油韓粉就是嫉妒你	Non-offensive
張洧承天一定會有撥雲見日的一天	Non-offensive
陳奕安許騫	Non-offensive
起碼臺大畢業不會當小編	Non-offensive
羅佳佳我櫻	Non-offensive
蔡佩岑好奇異的父母	Non-offensive
趕羚羊的老寄賣，街洗沙小啊查拉禁婦	Non-offensive
等你講又中	Non-offensive
狗尾續貂作	Non-offensive
你可以跟人家哲學一下	Non-offensive
巫佳芬叫你家貓頂一個	Non-offensive
壽山動物園跑出來的	Non-offensive
佢咁愛國，冇可能辱華嘅	Non-offensive
方泰允這個	Non-offensive
還有這個偷梗啊有夠難笑	Non-offensive
扣哥，加油	Non-offensive
中溫快看	Non-offensive
你不是男的嗎	Non-offensive
這個主播是男的還是女的	Non-offensive
康農八校聯盟的你知道機械不是每個人想念就可以唸的嗎	Non-offensive
童哥是不是要跨足英文補習班	Non-offensive
是真愛破三跑起來	Non-offensive
陳政豪這啥	Non-offensive
想知道他們後續	Non-offensive
的被檢舉看不了	Non-offensive
有ㄇ有神風造型ㄉ幹幹貓ㄇ給你錢ㄅ拖趕快出	Non-offensive
上次你地係電視睇果啲	Non-offensive
說真的他會不會選上之後當一當烙跑去選國家主席會的話可以考慮投	Non-offensive
支持學姐，學姐支持	Non-offensive
小櫻女神	Non-offensive
因為部隊裡很多假的	Non-offensive
等著看他出來道歉	Non-offensive
不要整天靠麼別人娶走正妹重點，劃線	Non-offensive
下巴都帥	Non-offensive
超欣賞你帥爆	Non-offensive
頭殼小先尬巴蕊再說	Non-offensive
我比你早一點五星，但是你升超快	Non-offensive
佢地來來去去都係嗰幾句，成個白痴樣	Non-offensive
要告，一定要告讓他身敗名裂，也許還有其他受害者，能因此站出來	Non-offensive
陳逸信哇根本我	Non-offensive
涵朱去買	Non-offensive
養殖業都百萬來百萬去的	Non-offensive
市長加油支持你	Non-offensive
朝倉桓奈小屁鯊	Non-offensive
喪屍什麼的遇到麻醉醫師也得躺平吧	Non-offensive
李俐君阿公	Non-offensive
陳宗賢你看看	Non-offensive
是誰是誰	Non-offensive
妳這個女人	Non-offensive
看來是興趣使然的畫家呢，畫真快	Non-offensive
勇者回到過去截年月日點分秒毫秒大聲喊出我是光棍	Non-offensive
林爸爸太偉大了，辛苦你了加油	Non-offensive
彭昱翔借一下	Non-offensive
阿姨是怎樣	Non-offensive
火影的字義上可解釋為法師了法師忍者	Non-offensive
婊姐的造型跟攝影團隊到底是何方神聖啦	Non-offensive
吉利服欸	Non-offensive
漆彈先練一波	Non-offensive
感覺反派弱弱的	Non-offensive
那些某蔣後代是不是可以比照	Non-offensive
看你寫很痛快	Non-offensive
所以要不要先跟道歉	Non-offensive
跑起來加油	Non-offensive
照片是誰啊	Non-offensive
來幫忙一下順便幫我買，拿錢給你	Non-offensive
佢咁樣侮辱埋輸果個葉傲冬	Non-offensive
祝福牛頓同學越走越順	Non-offensive
花小花馬的就是你呂柏霆	Non-offensive
清明愛民的好總統	Non-offensive
黑皮哥哥	Non-offensive
國昌差點沒變世界奇觀嗎	Non-offensive
原來你老公年次的跟我同屆	Non-offensive
某國真係好煩	Non-offensive
瓜吉加油再過不久就跟阿館一樣爆氣了	Non-offensive
拉麵就該下去不知道在跩三小	Non-offensive
敲碗遛狗	Non-offensive
林爸爸你辛苦了加油	Non-offensive
姐姐說的沒說、、看你跟白目佳那段戲哭了	Non-offensive
黃市長實至名歸	Non-offensive
真的感謝報導，希望阿伯可以好好的生活下去	Non-offensive
莊博勛還敢下來啊	Non-offensive
真的為了怕罰就拼命的各種造假	Non-offensive
一路好走	Non-offensive
荷包君等等你先別衝動啊	Non-offensive
禁娘令禁講〇〇娘	Non-offensive
我買了你是啥	Non-offensive
咖啡佬不嬲唔係差佬管架	Non-offensive
張宇仁調皮仔	Non-offensive
根本超耐看醜帥男啊	Non-offensive
林爸爸好偉大辛苦了加油	Non-offensive
那位還活在世紀嗎	Non-offensive
鬼滅外傳哭柱	Non-offensive
有大將之風，加油	Non-offensive
一定要告到底順便查查是不是真的韓粉	Non-offensive
怎麼還在	Non-offensive
平安的一年又過去了感謝飛天小阿賢	Non-offensive
智齒被你苦到了出來復仇好樣的智齒	Non-offensive
飢不擇食了瞧不起這種人，真的	Non-offensive
也是有女的很渣的	Non-offensive
楊上岷小黑不能用了	Non-offensive
除了什麼都好	Non-offensive
來高雄打牌阿保證滿坑滿谷的肥宅	Non-offensive
林董、好爸爸、好善良、好偉大	Non-offensive
玉後長的好漂亮	Non-offensive
吉到底啦	Non-offensive
希望多報導這類的新聞發揮媒體的關注讓大家幫幫努力的人	Non-offensive
林荷馨高廷翰	Non-offensive
告下去啦	Non-offensive
撲師真的很有耐心謝謝您	Non-offensive
好友晚安	Non-offensive
熊君來對ㄐㄩ發票吧	Non-offensive
惡魔大叔讚	Non-offensive
楊壁虎謝謝你願意收聽	Non-offensive
鳳凰還會互補	Non-offensive
贏緊比啦已經，烏你老母咩	Non-offensive
沒一個能打的	Non-offensive
我來晒死這些鬼	Non-offensive
什麼都能演真的是天后	Non-offensive
點解個奶咀訓住食唔跌既執奶咀執到想死	Non-offensive
這年頭跟你不同意見，就叫中國陣營的，中共同路人，真是好棒棒，	Non-offensive
早日康復	Non-offensive
支持你加油	Non-offensive
早安心想事成	Non-offensive
你竟然會罵	Non-offensive
繆也不錯	Non-offensive
果然是選舉高手	Non-offensive
女神官股銀行剛買進	Non-offensive
用心的新竹市長	Non-offensive
郭鎮宇殺人不眨眼，那眼睛會不會乾	Non-offensive
真的啦，賺更好支持你	Non-offensive
衣服是的嗎	Non-offensive
正到爆可惜智叔已不在世	Non-offensive
我還差四歲	Non-offensive
都唔知做嘜柒	Non-offensive
萬不能展的	Non-offensive
了不起唸得好英經	Non-offensive
你太幽默了，我也給你五顆星	Non-offensive
他到底在錯亂什麼	Non-offensive
婆還有來比慢啊	Non-offensive
屁窒仔是什麼	Non-offensive
可愛死ㄟ	Non-offensive
韓粉都發大財了，四處送現金	Non-offensive
看攀巖高手	Non-offensive
我愛你啦嗚嗚	Non-offensive
是涼麵佛耶	Non-offensive
郭亭君ㄐ掰	Non-offensive
公斤肥豬王不是曾經世界冠軍嗎	Non-offensive
變事故死亡車	Non-offensive
我只會用到幹你田中	Non-offensive
你很贊咧	Non-offensive
元你買的到嗎	Non-offensive
聽了好心疼，那些渣男	Non-offensive
你哥的事情你知情嗎	Non-offensive
你的新竹	Non-offensive
希望全部都能贏加油，加油，加油	Non-offensive
爽啦這兩年委屈一鬨而散	Non-offensive
看起來是油漆桶	Non-offensive
奇文共賞，這是什麼年代出來的人	Non-offensive
幹你角川	Non-offensive
越來越喜歡佢兩個	Non-offensive
老婆才是推坑高手，但歲全馬破很威欸	Non-offensive
眼淚用噴的	Non-offensive
好偉大的父親	Non-offensive
抖陰一響小孩白養	Non-offensive
一群衛兵	Non-offensive
郭柏緯郭喔	Non-offensive
最後的是什麼	Non-offensive
路過去買一包	Non-offensive
陳柏佑要挽面ㄇ	Non-offensive
趙以清生死契闊快來看下面的留言	Non-offensive
繳兩萬還入圍卻差點畢不了業之導師只給分	Non-offensive
阿公超強耶	Non-offensive
七堂課速成的財經專家	Non-offensive
咁多張係右下角嗰張零舍乞人憎	Non-offensive
說超棒的	Non-offensive
政宰在觀相帥我一臉又痞又壞氣場有夠強大	Non-offensive
張西西普遍都好好笑	Non-offensive
葉玉琴林侑臻家瑞	Non-offensive
這種路況是開多快	Non-offensive
姚詠婷你們怎麼看	Non-offensive
俾咗，加多個俾千倉鼠	Non-offensive
謝浚紘太可愛	Non-offensive
潘思翰跑不到的猴子	Non-offensive
也是啦岳父沒有說照顧自己的老婆不能同時照顧別人的前世女人	Non-offensive
阿要抄就抄中聯辨一樣照抄	Non-offensive
大溼之作，懶貓子必定阿黑顏	Non-offensive
要吞，那他維多利亞學校先吞吧	Non-offensive
呱吉是個純潔的好心人	Non-offensive
我看到囉	Non-offensive
謝琇伊要不要挑戰	Non-offensive
譚敬綾很燒腦	Non-offensive
可以罵我嗎五單沒黑貞只有一個南丁格爾	Non-offensive
建制派有啲咁嘅支持者，好應該明白點解會輸啦下話	Non-offensive
笑死偷加改	Non-offensive
這個消查某該抓去關	Non-offensive
何小孟你今天是坐布丁狗嗎	Non-offensive
你看這個	Non-offensive
原來你講緊呢個，假㗎	Non-offensive
首都帶頭走回頭路笑	Non-offensive
陳翰林竑燊	Non-offensive
別氣了啦酒都幫你準備好了	Non-offensive
謝謝你大麻	Non-offensive
棒棒的辛苦了	Non-offensive
呑你的薑母鴨啦	Non-offensive
大家等你，咦已經回來了	Non-offensive
的戰友是時代力量那群嗎能家困惑哪	Non-offensive
得閒無嘢做整傷大陣手尾長	Non-offensive
這種人好可怕	Non-offensive
男主角屬於那種醜帥醜帥的	Non-offensive
呢啲叫型呀你識條鐵咩	Non-offensive
佛山沒一個能打的	Non-offensive
市長支持你	Non-offensive
偷井蓋啊	Non-offensive
去它的情人節啦∠∠＿	Non-offensive
站曾經的鎮站之寶是誰說蕉遲但到的，這下永遠再見了	Non-offensive
黃海峰博人傳好似幾正	Non-offensive
顏少爺又中槍了	Non-offensive
穩了要去旅遊嘍	Non-offensive
郭玫均傻眼你快看留言	Non-offensive
還敢偷用媽媽的手機啊晨晨	Non-offensive
蔡國賢紀玫幹狂熱粉	Non-offensive
吉下去啦	Non-offensive
拜託，吃這個	Non-offensive
白白實況不死鳥	Non-offensive
哇露點圖	Non-offensive
烏克蘭係俄羅斯前妻咁中國係乜	Non-offensive
王藍鋒你還是搭車吧	Non-offensive
陳通通帥	Non-offensive
要來找我學吃	Non-offensive
場地才是真主角吧	Non-offensive
希望雙殺	Non-offensive
你們可以演戲了，哈哈	Non-offensive
怎麼有弗洛倫打輸司科德	Non-offensive
果然賤人就是矯情☺	Non-offensive
這犬報汪真的越來越扯，每天看牠頭條都下的很好笑	Non-offensive
祝福委員學長生日快樂	Non-offensive
楦楦看的	Non-offensive
所以說預算不能省下來繳庫灑這錢民國幾年能拿回來	Non-offensive
換條皮帶要＄	Non-offensive
有夠跩好讚	Non-offensive
這業配真的有通過嗎	Non-offensive
記國富快來啊啊啊	Non-offensive
加油小驊	Non-offensive
王子平你看這些回覆	Non-offensive
說這話是小英授意的嗎否則你就準備丟官吧	Non-offensive
靠我很認真的看完ㄟ	Non-offensive
幹景甜根本把薩諾斯巴假的	Non-offensive
妳當初應該是看上油膩膩的錢嫁齁	Non-offensive
秦國超要ㄅ要看	Non-offensive
看樣子，房子的事已經過戶了老公高手	Non-offensive
我這個醜男只能用動畫頭貼	Non-offensive
你是不是剛看完蝙蝠俠黑暗騎士	Non-offensive
那你什麼時候要承認包	Non-offensive
心美人更美	Non-offensive
有真係活喺自己世界睇咩信咩當真	Non-offensive
走私煙呢，查的怎麼樣了	Non-offensive
有狗証先有用啦	Non-offensive
最後好靠北	Non-offensive
陳冠廷你的愛	Non-offensive
宋飛飛好重好想試試	Non-offensive
了不起，名校	Non-offensive
帥市長你做的很棒加油	Non-offensive
他親戚是不是一個月來一次	Non-offensive
好可憐到阿伯	Non-offensive
超廢之後還有什麼黑色衝動直接棄坑	Non-offensive
你能出汙泥而不染嗎要對得起新竹市民，	Non-offensive
你家有面嗎	Non-offensive
他會不會其實是你粉絲，批評是反串	Non-offensive
我哥怎麼就開始當了	Non-offensive
見氣氛咁緊張，出黎灰鞋下	Non-offensive
看來她的薪水只能領%	Non-offensive
我也可以欸	Non-offensive
楊凱翔黃晴翌	Non-offensive
臺北高雄一個樣好可怕	Non-offensive
為這個城市大步向前衝就對了	Non-offensive
人品根本笑話吧	Non-offensive
婊姐一定沒看過下女這才是李政宰	Non-offensive
謝欣祐彭任翔閎閎我們可以尿晉瑞	Non-offensive
這哪一部阿感覺超好看的	Non-offensive
這些芹菜死絕就好臭坑出臭草	Non-offensive
我已經是女的了	Non-offensive
這樣以自身力量努力過生活的弱勢人群媒體應該多多報導	Non-offensive
這種根本告不成，專門唬弄法盲的	Non-offensive
三年啊不長啊	Non-offensive
吳情老公你看好好笑	Non-offensive
奶奶和泥褲都要快快康復啊	Non-offensive
哇好棒的新竹市市長超用心的感恩有您	Non-offensive
吉含粉賺音樂祭經費然後請來火球祭演爽死一大票人	Non-offensive
璃玥吃桃桃	Non-offensive
哇要不要加個紫米	Non-offensive
汪汪忠實正常發揮	Non-offensive
搞不好女的只有	Non-offensive
解佳伶該走了吧	Non-offensive
相欠債的扯住了想甩都甩不開週二好	Non-offensive
帥啊沒錯啊	Non-offensive
他這樣是希望你退金紙給他	Non-offensive
其實你講果幾點真係事實喎	Non-offensive
老闆還是沒蝦阿	Non-offensive
得意到暈	Non-offensive
涵涵載我去嗎	Non-offensive
楊璇蕭卉蓁妳們倆姐妹看看科科彭柑陳鬱晴妳們一定懂的	Non-offensive
感激你成日陪住我	Non-offensive
恭喜南北通勤很辛苦，希望你能好好照顧身體	Non-offensive
我們妳就好	Non-offensive
怕爆看來社入是最佳選擇了	Non-offensive
社把資料洩漏大陸那一個帳號塊	Non-offensive
是不是會有陳嘉樺	Non-offensive
陳沅佑靠你了	Non-offensive
陳韋諠有料	Non-offensive
吾友週二開醺夜暮心愉	Non-offensive
郭蓓其實是我想你了	Non-offensive
因為他只看中天呀	Non-offensive
都別人家的貓，要是我家的先開嗑了	Non-offensive
你們感情真好	Non-offensive
江建緒李至楷是我ㄟ・∀・	Non-offensive
好好抱哦假護士ㄉ大耳狗	Non-offensive
董玥伶居然有動畫	Non-offensive
林哲陞這應該不是臺灣人配的吧	Non-offensive
拜託這個出啊	Non-offensive
你慘了喪屍要來了	Non-offensive
自命清高的就是真被打死你也不能幫他因為不能還擊	Non-offensive
大型犬真帥	Non-offensive
壞人都死在不打致命傷	Non-offensive
他在說啥	Non-offensive
耶豪傑是不是該看了	Non-offensive
把快把他們當食材	Non-offensive
王先生體能真好	Non-offensive
支持阿扣	Non-offensive
你老友拜登同意嗎	Non-offensive
感謝你的付出	Non-offensive
李洋在那裡去	Non-offensive
隱身車淑梅都蒲埋頭	Non-offensive
偉大的爸爸	Non-offensive
董神這次沒什麼錯字欸	Non-offensive
我也要去買	Non-offensive
林鬱芬叫你哥跟他	Non-offensive
所以照片裡這位是	Non-offensive
就喜歡阿津講真話	Non-offensive
桐人哭哭	Non-offensive
覺醒媽媽勢力成長中	Non-offensive
你看爸爸手上這桶白白的是留ㄌㄞ	Non-offensive
職場霸凌後輩主持不好笑冷場的人	Non-offensive
團長辛苦了	Non-offensive
啊啦你這個小腦中臺詞	Non-offensive
老婆好漂亮阿	Non-offensive
嶽虹姐最喜歡看妳演出妳超棒	Non-offensive
數學要好的深度梗	Non-offensive
奶奶加油帶著我們大家的祝福一定會成功的	Non-offensive
一個呱吉，各自表述	Non-offensive
又愛又恨欸	Non-offensive
從聯合艦隊是三小到現在打算寫二戰軍武小說田中真是個偉人才有鬼	Non-offensive
表弟很想你	Non-offensive
龍龍愉超感動的	Non-offensive
汪汪疊你的貓看看	Non-offensive
方丈簡直型到核爆	Non-offensive
原來十歲會長鬍子	Non-offensive
好有智慧的娘娘	Non-offensive
他是不是想跟你借錢	Non-offensive
李穎韓粉出征，寸草不生	Non-offensive
是啊也推進ロ袋很多的鈔票給阿扁怎麼沒有說出來	Non-offensive
多玩一點恐佈遊戲還蠻好笑的帥哥一枚	Non-offensive
討人厭的一對	Non-offensive
辛苦了真的一堆	Non-offensive
娘娘你的手不酸嗎	Non-offensive
凃銘濠鬼修幹	Non-offensive
我有遇過他，他搶路	Non-offensive
肉鬆是一隻狗	Non-offensive
邵鬱欣走去看	Non-offensive
年前是小丑，年後還是小丑ㄏㄏ	Non-offensive
多報這種新聞，推推	Non-offensive
還敢下來啊	Non-offensive
寶劍真的太奶很熟膩我以為妳是敘俊派	Non-offensive
他可以來臺灣用用看	Non-offensive
金仔有智慧，他會恭恭敬敬只要中國沒有大事發生	Non-offensive
